id,category,subcategory,name,brand,specification,unit,price_range_inr,description,image_url
MAT00001,Building & Structural,Cement,OPC 33 Grade Cement,UltraTech,25kg bag,bag,Rs.230 - Rs.429,"UltraTech OPC 33 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=UltraTech+OPC+33+Grade+Cement
MAT00002,Building & Structural,Cement,OPC 33 Grade Cement,UltraTech,40kg bag,bag,Rs.230 - Rs.429,"UltraTech OPC 33 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=UltraTech+OPC+33+Grade+Cement
MAT00003,Building & Structural,Cement,OPC 33 Grade Cement,UltraTech,50kg bag,bag,Rs.230 - Rs.429,"UltraTech OPC 33 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=UltraTech+OPC+33+Grade+Cement
MAT00004,Building & Structural,Cement,OPC 33 Grade Cement,ACC,25kg bag,bag,Rs.230 - Rs.429,"ACC OPC 33 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=ACC+OPC+33+Grade+Cement
MAT00005,Building & Structural,Cement,OPC 33 Grade Cement,ACC,40kg bag,bag,Rs.230 - Rs.429,"ACC OPC 33 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=ACC+OPC+33+Grade+Cement
MAT00006,Building & Structural,Cement,OPC 33 Grade Cement,ACC,50kg bag,bag,Rs.230 - Rs.429,"ACC OPC 33 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=ACC+OPC+33+Grade+Cement
MAT00007,Building & Structural,Cement,OPC 33 Grade Cement,Ambuja,25kg bag,bag,Rs.230 - Rs.429,"Ambuja OPC 33 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Ambuja+OPC+33+Grade+Cement
MAT00008,Building & Structural,Cement,OPC 33 Grade Cement,Ambuja,40kg bag,bag,Rs.230 - Rs.429,"Ambuja OPC 33 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Ambuja+OPC+33+Grade+Cement
MAT00009,Building & Structural,Cement,OPC 33 Grade Cement,Ambuja,50kg bag,bag,Rs.230 - Rs.429,"Ambuja OPC 33 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Ambuja+OPC+33+Grade+Cement
MAT00010,Building & Structural,Cement,OPC 33 Grade Cement,Shree Cement,25kg bag,bag,Rs.230 - Rs.429,"Shree Cement OPC 33 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Shree+Cement+OPC+33+Grade+Cement
MAT00011,Building & Structural,Cement,OPC 33 Grade Cement,Shree Cement,40kg bag,bag,Rs.230 - Rs.429,"Shree Cement OPC 33 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Shree+Cement+OPC+33+Grade+Cement
MAT00012,Building & Structural,Cement,OPC 33 Grade Cement,Shree Cement,50kg bag,bag,Rs.230 - Rs.429,"Shree Cement OPC 33 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Shree+Cement+OPC+33+Grade+Cement
MAT00013,Building & Structural,Cement,OPC 33 Grade Cement,Dalmia,25kg bag,bag,Rs.230 - Rs.429,"Dalmia OPC 33 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Dalmia+OPC+33+Grade+Cement
